"Date","Price","Open","High","Low","Vol.","Change %"
"06-04-2024","178.703","174.370","179.699","173.604","3.91M","2.49%"
"05-04-2024","174.368","184.007","185.025","168.038","6.98M","-5.23%"
"04-04-2024","183.999","185.090","190.099","180.251","5.30M","-0.58%"
"03-04-2024","185.076","181.428","191.625","177.085","6.61M","2.00%"
"02-04-2024","181.446","192.228","192.228","175.973","8.15M","-5.61%"
"01-04-2024","192.224","202.510","204.194","187.311","6.50M","-5.08%"
"31-03-2024","202.510","194.211","203.075","193.747","3.84M","4.27%"
"30-03-2024","194.221","192.105","199.812","190.938","4.94M","1.10%"
"29-03-2024","192.107","189.473","192.949","183.558","5.15M","1.39%"
"28-03-2024","189.482","186.230","190.838","180.923","5.21M","1.77%"
"27-03-2024","186.180","190.460","192.546","180.341","7.23M","-2.25%"
"26-03-2024","190.465","188.977","196.509","186.378","6.33M","0.79%"
"25-03-2024","188.979","183.692","194.458","181.085","7.35M","2.89%"
"24-03-2024","183.676","172.641","186.564","171.392","5.04M","6.39%"
"23-03-2024","172.641","175.077","178.755","170.502","5.04M","-1.40%"
"22-03-2024","175.087","179.403","181.643","167.718","8.20M","-2.41%"
"21-03-2024","179.417","191.772","195.408","175.909","10.33M","-6.50%"
"20-03-2024","191.897","169.890","193.103","162.719","16.47M","12.95%"
"19-03-2024","169.894","195.847","198.548","166.249","21.79M","-13.26%"
"18-03-2024","195.866","201.814","209.917","194.427","14.86M","-2.95%"
"17-03-2024","201.830","182.071","204.396","178.884","13.62M","10.85%"
"16-03-2024","182.079","183.854","197.783","177.242","17.08M","-0.68%"
"15-03-2024","183.334","176.523","188.803","165.177","23.17M","3.86%"
"14-03-2024","176.523","163.914","177.989","159.632","14.17M","7.70%"
"13-03-2024","163.907","151.053","166.580","148.824","10.57M","8.51%"
"12-03-2024","151.054","148.803","154.890","141.877","12.21M","1.52%"
"11-03-2024","148.791","144.413","150.070","136.848","10.64M","3.04%"
"10-03-2024","144.407","144.279","148.515","140.599","6.32M","0.12%"
"09-03-2024","144.238","144.765","149.122","143.799","5.65M","-0.35%"
"08-03-2024","144.748","143.863","152.672","142.149","10.23M","0.60%"
"07-03-2024","143.888","130.733","149.033","130.676","13.99M","10.06%"
"06-03-2024","130.734","125.365","134.886","120.184","11.35M","4.38%"
"05-03-2024","125.249","132.896","142.507","111.792","20.50M","-5.75%"
"04-03-2024","132.896","130.213","134.933","127.540","9.69M","2.05%"
"03-03-2024","130.220","130.078","132.076","124.848","6.20M","0.11%"
"02-03-2024","130.078","129.914","131.620","127.399","5.71M","0.13%"
"01-03-2024","129.914","125.621","137.554","125.602","10.16M","3.44%"
"29-02-2024","125.588","118.878","134.492","117.433","16.95M","5.65%"
"28-02-2024","118.877","108.400","118.877","107.284","14.27M","9.67%"
"27-02-2024","108.398","109.856","112.200","105.667","7.72M","-1.32%"
"26-02-2024","109.851","103.469","110.693","100.352","6.79M","6.16%"
"25-02-2024","103.475","104.012","104.405","102.081","2.45M","-0.52%"
"24-02-2024","104.012","99.828","104.691","98.507","2.96M","4.19%"
"23-02-2024","99.827","101.751","103.084","98.786","4.41M","-1.91%"
"22-02-2024","101.774","105.064","107.045","101.524","4.96M","-3.13%"
"21-02-2024","105.059","108.325","108.341","100.267","6.18M","-2.99%"
"20-02-2024","108.292","111.465","112.092","104.863","7.17M","-2.85%"
"19-02-2024","111.465","112.214","114.772","111.011","4.68M","-0.66%"
"18-02-2024","112.206","108.912","114.033","107.535","3.72M","3.02%"
"17-02-2024","108.913","110.341","111.057","105.826","3.48M","-1.29%"
"16-02-2024","110.341","113.543","114.253","108.211","4.92M","-2.83%"
"15-02-2024","113.555","116.967","118.340","111.556","6.18M","-2.91%"
"14-02-2024","116.959","112.502","118.649","110.714","6.18M","3.96%"
"13-02-2024","112.502","111.803","114.860","108.414","7.12M","0.62%"
"12-02-2024","111.803","107.445","112.211","103.525","7.55M","4.06%"
"11-02-2024","107.439","109.031","110.625","107.289","3.52M","-1.46%"
"10-02-2024","109.032","106.935","110.858","106.914","5.03M","1.99%"
"09-02-2024","106.909","102.771","108.815","102.763","8.23M","4.04%"
"08-02-2024","102.760","101.059","104.912","100.562","7.17M","1.68%"
"07-02-2024","101.058","96.848","101.409","94.755","5.76M","4.34%"
"06-02-2024","96.850","95.626","97.858","93.314","5.53M","1.28%"
"05-02-2024","95.624","95.442","98.633","94.193","4.80M","0.20%"
"04-02-2024","95.435","97.940","98.528","95.106","3.54M","-2.56%"
"03-02-2024","97.940","100.546","101.165","96.709","3.64M","-2.59%"
"02-02-2024","100.542","97.803","102.495","97.452","6.94M","2.80%"
"01-02-2024","97.803","97.040","98.015","93.143","8.65M","0.78%"
"31-01-2024","97.043","101.373","102.581","96.090","10.67M","-4.28%"
"30-01-2024","101.377","101.617","106.318","101.033","8.76M","-0.23%"
"29-01-2024","101.613","95.982","101.880","95.103","7.24M","5.87%"
"28-01-2024","95.982","94.266","99.420","93.422","6.86M","1.89%"
"27-01-2024","94.201","92.272","94.481","90.720","3.54M","2.16%"
"26-01-2024","92.209","86.877","93.662","86.100","6.02M","6.13%"
"25-01-2024","86.880","88.771","89.585","85.173","5.12M","-2.13%"
"24-01-2024","88.769","84.296","89.305","83.315","7.35M","5.30%"
"23-01-2024","84.303","83.841","85.924","79.009","10.07M","0.57%"
"22-01-2024","83.829","91.053","91.867","82.350","8.67M","-7.94%"
"21-01-2024","91.055","92.756","93.892","90.830","2.41M","-1.83%"
"20-01-2024","92.756","93.649","94.230","90.268","3.32M","-0.96%"
"19-01-2024","93.655","94.354","95.309","87.055","7.77M","-0.74%"
"18-01-2024","94.352","102.078","103.424","91.679","7.74M","-7.56%"
"17-01-2024","102.070","97.598","102.691","96.884","8.70M","4.57%"
"16-01-2024","97.607","94.358","98.682","94.189","4.57M","3.40%"
"15-01-2024","94.398","93.900","96.870","93.166","4.49M","0.58%"
"14-01-2024","93.855","95.781","103.110","93.767","7.68M","-2.00%"
"13-01-2024","95.774","92.058","97.039","89.590","5.22M","4.06%"
"12-01-2024","92.039","99.862","100.427","87.660","7.95M","-7.83%"
"11-01-2024","99.862","102.050","107.040","97.780","11.41M","-2.12%"
"10-01-2024","102.024","99.370","105.323","92.350","10.77M","2.67%"
"09-01-2024","99.370","97.899","103.898","95.484","10.42M","1.54%"
"08-01-2024","97.860","89.347","99.910","85.331","12.28M","9.55%"
"07-01-2024","89.328","93.728","96.713","87.928","6.84M","-4.69%"
"06-01-2024","93.728","99.930","100.227","91.618","6.18M","-6.21%"
"05-01-2024","99.930","104.876","105.301","95.605","8.01M","-4.72%"
"04-01-2024","104.876","98.536","108.042","96.776","8.73M","6.43%"
"03-01-2024","98.536","106.720","109.887","86.141","15.16M","-7.67%"
"02-01-2024","106.720","109.728","116.920","106.052","9.66M","-2.65%"
"01-01-2024","109.628","101.590","109.668","101.558","5.57M","7.91%"
"31-12-2023","101.590","101.808","105.151","99.597","4.84M","-0.21%"
"30-12-2023","101.808","106.166","107.360","100.862","4.93M","-4.11%"
"29-12-2023","106.166","101.845","109.726","99.632","11.74M","4.24%"
"28-12-2023","101.845","106.766","109.442","97.302","12.92M","-4.62%"
"27-12-2023","106.782","112.603","115.232","105.099","11.25M","-5.17%"
"26-12-2023","112.603","120.761","121.291","103.265","15.42M","-6.76%"
"25-12-2023","120.761","112.514","125.506","108.164","13.74M","7.37%"
"24-12-2023","112.471","107.948","117.912","107.504","15.82M","4.19%"
"23-12-2023","107.948","97.964","109.638","92.869","10.51M","10.18%"
"22-12-2023","97.972","93.908","99.342","90.659","15.05M","4.31%"
"21-12-2023","93.920","82.164","95.465","81.187","15.31M","14.31%"
"20-12-2023","82.164","73.068","83.992","72.986","13.60M","12.43%"
"19-12-2023","73.078","74.418","76.352","71.833","7.64M","-1.77%"
"18-12-2023","74.394","70.799","75.380","67.130","9.17M","5.17%"
"17-12-2023","70.737","73.733","74.914","70.594","6.50M","-4.05%"
"16-12-2023","73.724","72.503","77.191","71.279","7.21M","1.62%"
"15-12-2023","72.545","75.686","79.454","72.214","11.17M","-4.15%"
"14-12-2023","75.686","70.596","76.186","69.682","9.45M","7.21%"
"13-12-2023","70.598","68.550","72.457","64.058","10.30M","2.99%"
"12-12-2023","68.550","70.297","72.388","65.962","9.92M","-2.48%"
"11-12-2023","70.297","74.871","74.919","65.783","15.88M","-5.96%"
"10-12-2023","74.750","72.317","74.839","70.734","7.65M","3.36%"
"09-12-2023","72.319","74.896","77.550","71.848","11.33M","-3.44%"
"08-12-2023","74.896","67.798","75.242","67.798","14.15M","10.48%"
"07-12-2023","67.791","61.898","69.322","61.677","13.53M","9.53%"
"06-12-2023","61.896","60.959","66.631","60.959","13.83M","1.54%"
"05-12-2023","60.959","61.575","62.548","59.153","7.72M","-1.00%"
"04-12-2023","61.572","62.988","65.243","60.081","10.40M","-2.25%"
"03-12-2023","62.988","63.795","65.419","62.329","6.52M","-1.28%"
"02-12-2023","63.807","59.756","63.898","59.674","6.29M","6.78%"
"01-12-2023","59.754","59.199","61.846","58.614","6.66M","0.94%"
"30-11-2023","59.199","59.292","61.646","58.858","5.67M","-0.16%"
"29-11-2023","59.294","58.184","61.706","57.766","9.66M","1.89%"
"28-11-2023","58.192","55.055","58.634","53.978","7.11M","5.69%"
"27-11-2023","55.060","57.559","58.040","53.590","6.16M","-4.34%"
"26-11-2023","57.559","58.809","59.007","56.260","4.24M","-2.13%"
"25-11-2023","58.809","56.870","59.715","55.895","5.31M","3.42%"
"24-11-2023","56.863","56.412","58.712","56.242","5.28M","0.80%"
"23-11-2023","56.412","57.538","59.506","56.192","6.23M","-1.86%"
"22-11-2023","57.482","51.691","58.825","51.650","9.83M","11.20%"
"21-11-2023","51.691","56.574","57.316","51.401","12.95M","-8.63%"
"20-11-2023","56.574","61.087","61.199","56.234","8.92M","-7.43%"
"19-11-2023","61.114","58.566","62.011","56.724","9.09M","4.38%"
"18-11-2023","58.552","58.497","59.313","54.856","9.19M","0.09%"
"17-11-2023","58.497","57.823","60.442","54.205","14.71M","1.18%"
"16-11-2023","57.815","65.527","68.076","56.552","18.33M","-11.81%"
"15-11-2023","65.555","56.820","67.030","56.234","16.38M","15.37%"
"14-11-2023","56.820","51.639","57.751","51.603","15.40M","9.98%"
"13-11-2023","51.662","56.350","59.800","51.635","14.45M","-8.32%"
"12-11-2023","56.350","56.375","61.823","54.617","13.54M","-0.01%"
"11-11-2023","56.354","56.677","63.576","53.636","18.65M","-0.57%"
"10-11-2023","56.677","45.305","57.442","45.095","19.27M","25.02%"
"09-11-2023","45.335","43.132","48.777","42.529","16.80M","5.12%"
"08-11-2023","43.127","42.946","43.866","42.295","6.00M","0.42%"
"07-11-2023","42.946","42.171","44.442","40.236","12.27M","1.80%"
"06-11-2023","42.187","41.157","42.190","39.687","7.07M","2.51%"
"05-11-2023","41.154","42.426","42.826","40.297","5.78M","-2.99%"
"04-11-2023","42.424","39.454","42.675","39.032","9.18M","7.53%"
"03-11-2023","39.452","40.246","40.250","38.072","12.86M","-1.97%"
"02-11-2023","40.246","41.113","44.501","38.762","18.19M","-2.11%"
"01-11-2023","41.113","38.401","46.479","37.926","25.10M","7.07%"
"31-10-2023","38.398","34.942","38.561","34.862","12.76M","9.89%"
"30-10-2023","34.942","32.830","35.199","32.385","9.62M","6.51%"
"29-10-2023","32.805","31.632","33.142","31.312","4.67M","3.71%"
"28-10-2023","31.632","31.724","32.500","31.413","3.13M","-0.29%"
"27-10-2023","31.724","32.780","33.305","31.456","7.87M","-3.22%"
"26-10-2023","32.780","32.448","33.242","30.777","9.53M","1.04%"
"25-10-2023","32.444","30.160","33.841","30.038","13.17M","7.57%"
"24-10-2023","30.160","31.922","32.552","29.592","13.77M","-5.52%"
"23-10-2023","31.922","29.051","32.709","28.770","15.07M","9.89%"
"22-10-2023","29.049","29.325","29.992","28.123","6.55M","-1.00%"
"21-10-2023","29.343","27.020","30.165","26.665","11.47M","8.60%"
"20-10-2023","27.020","24.927","27.350","24.732","9.71M","8.33%"
"19-10-2023","24.942","23.420","25.434","23.181","7.60M","6.51%"
"18-10-2023","23.417","23.934","24.360","23.380","3.99M","-2.16%"
"17-10-2023","23.934","23.954","24.520","23.579","5.52M","-0.08%"
"16-10-2023","23.952","21.914","24.583","21.900","8.67M","9.30%"
"15-10-2023","21.914","22.000","22.152","21.670","1.82M","-0.35%"
"14-10-2023","21.990","21.838","22.220","21.808","1.55M","0.69%"
"13-10-2023","21.840","21.299","22.175","21.120","2.97M","2.54%"
"12-10-2023","21.299","22.008","22.032","21.032","3.40M","-3.26%"
"11-10-2023","22.015","22.098","22.416","21.630","3.55M","-0.38%"
"10-10-2023","22.098","22.100","22.459","21.703","2.81M","0.01%"
"09-10-2023","22.097","23.222","23.370","21.782","4.87M","-4.85%"
"08-10-2023","23.224","23.301","23.613","23.101","2.21M","-0.34%"
"07-10-2023","23.303","23.701","23.824","23.091","3.43M","-0.77%"
"06-10-2023","23.483","22.670","23.731","22.670","5.05M","3.59%"
"05-10-2023","22.670","23.140","23.730","22.592","4.05M","-2.03%"
"04-10-2023","23.140","23.608","23.776","22.665","4.83M","-1.98%"
"03-10-2023","23.608","23.360","24.697","23.268","7.03M","1.06%"
"02-10-2023","23.360","23.887","24.671","22.930","8.00M","-2.19%"
"01-10-2023","23.883","21.364","24.433","21.138","7.77M","11.79%"
"30-09-2023","21.364","20.280","21.762","20.100","4.41M","5.34%"
"29-09-2023","20.280","19.960","20.424","19.853","3.29M","1.60%"
"28-09-2023","19.960","19.127","19.976","19.105","3.97M","4.35%"
"27-09-2023","19.127","19.026","19.460","18.762","3.39M","0.53%"
"26-09-2023","19.026","19.398","19.520","18.868","2.50M","-1.92%"
"25-09-2023","19.398","19.362","19.736","19.140","2.24M","0.20%"
"24-09-2023","19.358","19.488","19.654","19.278","1.33M","-0.66%"
"23-09-2023","19.488","19.428","19.563","19.290","1.17M","0.31%"
"22-09-2023","19.428","19.463","19.780","19.172","2.36M","-0.18%"
"21-09-2023","19.463","20.292","20.292","19.313","4.02M","-4.11%"
"20-09-2023","20.297","20.030","20.508","19.818","3.43M","1.33%"
"19-09-2023","20.030","19.650","20.362","19.582","3.76M","1.95%"
"18-09-2023","19.648","18.822","20.122","18.613","4.87M","4.39%"
"17-09-2023","18.822","19.130","19.132","18.682","1.31M","-1.61%"
"16-09-2023","19.130","19.143","19.421","18.885","1.83M","-0.05%"
"15-09-2023","19.140","18.852","19.433","18.567","2.91M","1.54%"
"14-09-2023","18.850","18.398","19.300","18.398","5.38M","2.46%"
"13-09-2023","18.398","17.912","18.520","17.708","5.12M","2.72%"
"12-09-2023","17.910","17.738","18.690","17.570","5.94M","0.98%"
"11-09-2023","17.736","18.238","18.438","17.396","6.02M","-2.71%"
"10-09-2023","18.230","19.432","19.440","17.850","6.86M","-6.19%"
"09-09-2023","19.432","19.608","19.610","19.385","846.26K","-0.91%"
"08-09-2023","19.610","19.904","20.270","19.395","2.43M","-1.48%"
"07-09-2023","19.904","19.640","19.990","19.340","2.92M","1.34%"
"06-09-2023","19.640","20.258","20.370","19.206","4.10M","-3.05%"
"05-09-2023","20.258","19.520","20.571","19.047","5.07M","3.80%"
"04-09-2023","19.517","19.572","19.998","19.181","2.62M","-0.28%"
"03-09-2023","19.572","19.500","19.668","19.256","1.34M","0.37%"
"02-09-2023","19.500","19.322","19.678","19.146","1.73M","0.92%"
"01-09-2023","19.322","19.737","19.920","19.080","3.33M","-2.05%"
"31-08-2023","19.727","20.812","21.008","19.481","4.82M","-5.21%"
"30-08-2023","20.812","21.792","21.958","20.600","3.17M","-4.50%"
"29-08-2023","21.792","20.568","21.982","20.118","6.61M","5.95%"
"28-08-2023","20.568","20.790","20.790","20.086","2.10M","-1.07%"
"27-08-2023","20.790","20.288","20.908","20.240","1.37M","2.47%"
"26-08-2023","20.288","20.420","20.422","20.206","937.78K","-0.65%"
"25-08-2023","20.420","21.058","21.058","20.096","2.95M","-3.03%"
"24-08-2023","21.058","21.738","22.018","20.684","3.36M","-3.13%"
"23-08-2023","21.738","20.584","21.784","20.448","4.59M","5.61%"
"22-08-2023","20.584","21.192","21.262","19.557","4.50M","-2.86%"
"21-08-2023","21.190","21.770","21.772","20.448","3.36M","-2.65%"
"20-08-2023","21.768","21.900","22.014","21.596","1.34M","-0.60%"
"19-08-2023","21.900","21.346","22.150","21.308","2.11M","2.59%"
"18-08-2023","21.348","21.698","22.172","20.976","4.84M","-1.62%"
"17-08-2023","21.700","22.816","23.416","20.265","7.70M","-4.89%"
"16-08-2023","22.816","23.920","24.016","22.438","5.48M","-4.72%"
"15-08-2023","23.946","25.180","25.280","23.744","4.84M","-4.89%"
"14-08-2023","25.176","24.230","25.271","24.117","3.66M","3.90%"
"13-08-2023","24.230","24.902","24.940","24.216","2.34M","-2.70%"
"12-08-2023","24.902","24.616","25.128","24.396","2.25M","1.15%"
"11-08-2023","24.618","24.605","24.898","24.354","2.94M","0.05%"
"10-08-2023","24.605","24.385","24.860","24.135","3.08M","0.90%"
"09-08-2023","24.385","24.210","24.984","24.122","4.70M","0.72%"
"08-08-2023","24.210","23.117","24.740","23.026","5.92M","4.77%"
"07-08-2023","23.109","23.197","23.579","22.418","3.78M","-0.38%"
"06-08-2023","23.197","22.648","23.432","22.578","3.07M","2.42%"
"05-08-2023","22.648","22.796","22.926","22.311","2.16M","-0.65%"
"04-08-2023","22.796","22.640","23.558","22.508","4.07M","0.69%"
"03-08-2023","22.640","23.148","23.372","22.484","3.63M","-2.19%"
"02-08-2023","23.148","24.050","24.234","22.930","4.22M","-3.59%"
"01-08-2023","24.010","23.722","24.040","23.012","4.53M","1.22%"
"31-07-2023","23.720","24.250","24.780","23.608","3.99M","-2.19%"
"30-07-2023","24.250","25.158","25.210","23.763","3.53M","-3.62%"
"29-07-2023","25.160","24.820","25.380","24.755","2.26M","1.37%"
"28-07-2023","24.820","25.100","25.522","24.554","3.60M","-1.12%"
"27-07-2023","25.102","25.174","25.634","24.700","5.27M","-0.35%"
"26-07-2023","25.190","23.270","25.581","23.182","7.50M","8.25%"
"25-07-2023","23.270","23.370","23.578","22.767","3.35M","-0.43%"
"24-07-2023","23.370","24.763","24.830","22.917","5.22M","-5.61%"
"23-07-2023","24.760","24.522","25.248","24.233","3.14M","0.98%"
"22-07-2023","24.520","25.492","25.960","24.260","2.99M","-3.81%"
"21-07-2023","25.492","25.378","25.994","25.098","4.23M","0.48%"
"20-07-2023","25.371","26.310","27.358","25.096","6.37M","-3.60%"
"19-07-2023","26.320","25.554","26.980","25.378","6.48M","3.00%"
"18-07-2023","25.554","26.804","27.062","24.793","8.12M","-4.66%"
"17-07-2023","26.804","27.420","28.455","25.794","10.59M","-2.25%"
"16-07-2023","27.420","27.461","28.553","26.764","8.11M","-0.13%"
"15-07-2023","27.456","26.675","29.072","26.547","12.93M","2.91%"
"14-07-2023","26.679","25.991","30.574","25.309","23.77M","2.63%"
"13-07-2023","25.995","21.938","26.651","21.450","19.22M","18.47%"
"12-07-2023","21.942","22.078","22.720","21.776","7.45M","-0.62%"
"11-07-2023","22.078","21.298","22.305","21.212","5.53M","3.63%"
"10-07-2023","21.305","21.325","21.790","20.532","6.75M","-0.17%"
